conv_layers,kernel_size,use_batchnorm,fc_neurons,run,accuracy,PPV,NPV,sensitivity,specificity,F-score
"[2, 2]",2,True,2,0,0.6725,0.6622765757290687,0.6840981856990395,0.704,0.641,0.6825012118274357
"[2, 2]",2,True,2,1,0.9655,0.9613478691774033,0.9697275479313825,0.97,0.961,0.9656545545047286
"[2, 2]",2,True,2,2,0.925,0.9150390625,0.9354508196721312,0.937,0.913,0.9258893280632412
"[2, 2]",2,True,2,3,0.5,,0.5,0.0,1.0,
"[2, 2]",2,True,8,0,0.839,0.8168224299065421,0.864516129032258,0.874,0.804,0.8444444444444446
"[2, 2]",2,True,8,1,0.9325,0.9091769157994324,0.95864262990456,0.961,0.904,0.9343704423918326
"[2, 2]",2,True,8,2,0.7945,0.7749766573295985,0.8170075349838536,0.83,0.759,0.8015451472718492
"[2, 2]",2,True,8,3,0.936,0.9308300395256917,0.9412955465587044,0.942,0.93,0.9363817097415507
"[2, 2]",2,True,32,0,0.8575,0.8331780055917987,0.8856526429341963,0.894,0.821,0.8625180897250362
"[2, 2]",2,True,32,1,0.9305,0.9034676663542643,0.9614147909967846,0.964,0.897,0.9327527818093856
"[2, 2]",2,True,32,2,0.8865,0.863593603010348,0.9124866595517609,0.918,0.855,0.8899660688317985
"[2, 2]",2,True,32,3,0.945,0.9354207436399217,0.9550102249488752,0.956,0.934,0.9455984174085064
"[2, 2]",2,False,2,0,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",2,False,2,1,0.6285,0.5847066578773896,0.7660455486542443,0.887,0.37,0.7048073102900279
"[2, 2]",2,False,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",2,False,2,3,0.5,,0.5,0.0,1.0,
"[2, 2]",2,False,8,0,0.5,,0.5,0.0,1.0,
"[2, 2]",2,False,8,1,0.586,0.5625909752547307,0.6373801916932907,0.773,0.399,0.6512215669755687
"[2, 2]",2,False,8,2,0.5895,0.5617667356797792,0.662431941923775,0.814,0.365,0.6647611269906084
"[2, 2]",2,False,8,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",2,False,32,0,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",2,False,32,1,0.616,0.6037567084078712,0.6315192743764172,0.675,0.557,0.6373937677053825
"[2, 2]",2,False,32,2,0.6265,0.6266266266266266,0.6263736263736264,0.626,0.627,0.626313156578289
"[2, 2]",2,False,32,3,0.5,,0.5,0.0,1.0,
"[2, 2]",4,True,2,0,0.8435,0.8219306466729147,0.8681672025723473,0.877,0.81,0.8485728108369618
"[2, 2]",4,True,2,1,0.8165,0.7759372275501307,0.8710433763188745,0.89,0.743,0.8290638099673964
"[2, 2]",4,True,2,2,0.964,0.967741935483871,0.9603174603174603,0.96,0.968,0.9638554216867469
"[2, 2]",4,True,2,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",4,True,8,0,0.842,0.833984375,0.8504098360655737,0.854,0.83,0.8438735177865613
"[2, 2]",4,True,8,1,0.8345,0.8129092609915809,0.8592910848549946,0.869,0.8,0.8400193330111165
"[2, 2]",4,True,8,2,0.944,0.9228571428571428,0.9673684210526315,0.969,0.919,0.9453658536585365
"[2, 2]",4,True,8,3,0.8435,0.829971181556196,0.8581856100104275,0.864,0.823,0.8466438020578148
"[2, 2]",4,True,32,0,0.8495,0.8294062205466541,0.8722044728434505,0.88,0.819,0.8539543910722951
"[2, 2]",4,True,32,1,0.9735,0.9702085402184707,0.9768378650553877,0.977,0.97,0.9735924265072247
"[2, 2]",4,True,32,2,0.9715,0.9700897308075773,0.9729187562688064,0.973,0.97,0.9715426859710433
"[2, 2]",4,True,32,3,0.84,0.8207547169811321,0.8617021276595744,0.87,0.81,0.8446601941747575
"[2, 2]",4,False,2,0,0.5,,0.5,0.0,1.0,
"[2, 2]",4,False,2,1,0.65,0.6194267515923567,0.7016129032258065,0.778,0.522,0.6897163120567376
"[2, 2]",4,False,2,2,0.67,0.6174033149171271,0.8079710144927537,0.894,0.446,0.7303921568627451
"[2, 2]",4,False,2,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",4,False,8,0,0.7155,0.711897738446411,0.7192268565615463,0.724,0.707,0.7178978681209718
"[2, 2]",4,False,8,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",4,False,8,2,0.679,0.6672897196261682,0.6924731182795699,0.714,0.644,0.689855072463768
"[2, 2]",4,False,8,3,0.533,0.5362637362637362,0.5302752293577981,0.488,0.578,0.5109947643979058
"[2, 2]",4,False,32,0,0.7585,0.7440982058545798,0.7747077577045696,0.788,0.729,0.7654201068479844
"[2, 2]",4,False,32,1,0.746,0.7342857142857143,0.7589473684210526,0.771,0.721,0.7521951219512194
"[2, 2]",4,False,32,2,0.772,0.7703777335984096,0.7736418511066399,0.775,0.769,0.7726819541375872
"[2, 2]",4,False,32,3,0.6115,0.6089931573802542,0.6141248720573184,0.623,0.6,0.615916955017301
"[2, 2]",8,True,2,0,0.883,0.8784584980237155,0.8876518218623481,0.889,0.877,0.8836978131212725
"[2, 2]",8,True,2,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",8,True,2,2,0.8775,0.8879753340184995,0.8675754625121713,0.864,0.891,0.8758236188545362
"[2, 2]",8,True,2,3,0.89,0.8801169590643275,0.9004106776180698,0.903,0.877,0.8914116485686082
"[2, 2]",8,True,8,0,0.7885,0.7688723205964585,0.8112189859762675,0.825,0.752,0.7959479015918958
"[2, 2]",8,True,8,1,0.874,0.8638132295719845,0.8847736625514403,0.888,0.86,0.8757396449704142
"[2, 2]",8,True,8,2,0.5,,0.5,0.0,1.0,
"[2, 2]",8,True,8,3,0.875,0.8591954022988506,0.8922594142259415,0.897,0.853,0.8776908023483367
"[2, 2]",8,True,32,0,0.88,0.8653846153846154,0.8958333333333334,0.9,0.86,0.8823529411764706
"[2, 2]",8,True,32,1,0.866,0.8630952380952381,0.8689516129032258,0.87,0.862,0.8665338645418328
"[2, 2]",8,True,32,2,0.858,0.8516699410609038,0.8645621181262729,0.867,0.849,0.8592666005946482
"[2, 2]",8,True,32,3,0.8885,0.8805093046033301,0.8968335035750766,0.899,0.878,0.8896585848589807
"[2, 2]",8,False,2,0,0.5845,0.6175243393602226,0.5659640905542545,0.444,0.725,0.5165794066317626
"[2, 2]",8,False,2,1,0.748,0.7525458248472505,0.743614931237721,0.739,0.757,0.7457114026236125
"[2, 2]",8,False,2,2,0.674,0.6526315789473685,0.7023255813953488,0.744,0.604,0.6953271028037384
"[2, 2]",8,False,2,3,0.5,,0.5,0.0,1.0,
"[2, 2]",8,False,8,0,0.773,0.7676470588235295,0.7785714285714286,0.783,0.763,0.7752475247524752
"[2, 2]",8,False,8,1,0.5,,0.5,0.0,1.0,
"[2, 2]",8,False,8,2,0.5,,0.5,0.0,1.0,
"[2, 2]",8,False,8,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 2]",8,False,32,0,0.6665,0.6474756421612046,0.6911595866819747,0.731,0.602,0.6867073743541569
"[2, 2]",8,False,32,1,0.813,0.8038834951456311,0.822680412371134,0.828,0.798,0.8157635467980296
"[2, 2]",8,False,32,2,0.6645,0.6441717791411042,0.6915017462165308,0.735,0.594,0.6865950490425035
"[2, 2]",8,False,32,3,0.73,0.719047619047619,0.7421052631578947,0.755,0.705,0.7365853658536585
"[2, 8]",2,True,2,0,0.7635,0.7277441659464131,0.8125741399762753,0.842,0.685,0.7807139545665277
"[2, 8]",2,True,2,1,0.5,,0.5,0.0,1.0,
"[2, 8]",2,True,2,2,0.5,,0.5,0.0,1.0,
"[2, 8]",2,True,2,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[2, 8]",2,True,8,0,0.96,0.9609218436873748,0.9590818363273453,0.959,0.961,0.95995995995996
"[2, 8]",2,True,8,1,0.968,0.9670658682634731,0.968937875751503,0.969,0.967,0.968031968031968
"[2, 8]",2,True,8,2,0.935,0.9298418972332015,0.9402834008097166,0.941,0.929,0.9353876739562624
